Collection_Number,Comment_Text,Video_URL,Username,Channel_ID,Channel_URL,Account_Created_Date,Subscriber_Count,Video_Count,Has_Profile_Picture,Username_Pattern,Notes
1,I BLAME THIS SHITASS VID FOR REMOVING DISLIKES,https://www.youtube.com/watch?v=YbJOTdZBX1g,Logan,greengoblin4391,https://www.youtube.com/channel/UCvySi0b3U84B4e1n0rp9QAg,"Joined Apr 15, 2021",5,0,Yes,alphanumeric,
2,Youtube is PATHETIC for unlisting these,https://www.youtube.com/watch?v=YbJOTdZBX1g,psi duck,psiduck4444,http://www.youtube.com/@psiduck4444,"Joined Oct 17, 2017",23,4,Yes,alphanumeric,
3,YOU CANNOT ERASE YOUR FAILURES,https://www.youtube.com/watch?v=YbJOTdZBX1g,Maika,Outliars_and_Hyppocrates,http://www.youtube.com/@Outliars_and_Hyppocrates,"Joined Nov 8, 2023",58,26,Yes,Characters,
4,Y'all think you're so slick by unlisting all the rewinds,https://www.youtube.com/watch?v=YbJOTdZBX1g,Homelessville Productions,HomelessvilleProductions,http://www.youtube.com/@HomelessvilleProductions,"Joined Nov 3, 2019",88.5K,1.2K,Yes,Characters,
5,Just dropping by to check the dislikes,https://www.youtube.com/watch?v=YbJOTdZBX1g,PhilMC_,PhilMC_,http://www.youtube.com/@PhilMC_,"Joined Nov 4, 2016",431,12,Yes,Characters,
6,"Just came back to see how the dislikes are doing, not the video.",https://www.youtube.com/watch?v=YbJOTdZBX1g,Parbachano,pyramidheadrocks,http://www.youtube.com/@pyramidheadrocks,"Joined Jul 22, 2006",5,0,Yes,Characters,
7,Damn every year it gets trashier,https://www.youtube.com/watch?v=YbJOTdZBX1g,Rosey,rosey7574,https://www.youtube.com/@rosey7574,"Joined Jan 1, 2013",7,0,Yes,alphanumeric,
8,I feel uncomfortable,https://www.youtube.com/watch?v=YbJOTdZBX1g,CoolMoon,CoolMoon,http://www.youtube.com/@CoolMoon,"Joined Nov 18, 2013",964,64,Yes,Characters,
9,This video’s hate has spread quicker than the coronavirus.,https://www.youtube.com/watch?v=YbJOTdZBX1g,Urbanite,Brklyn583,http://www.youtube.com/@Brklyn583,"Joined Oct 22, 2016",14,1,Yes,Characters,
10,Why the hell are the rewinds unlisted??,https://www.youtube.com/watch?v=YbJOTdZBX1g,Tomatosauce69,TOMATOSAUCE1-e7k,http://www.youtube.com/@TOMATOSAUCE1-e7k,"Joined Mar 15, 2023",103,14,Yes,Characters,
11,Who have searched for the trailer just to dislike it??,https://www.youtube.com/watch?v=-U5EWezaQos,Hemant Bhatia,hemantbhatia9325,http://www.youtube.com/@hemantbhatia9325,"Joined Nov 5, 2011",0,0,Yes,alphanumeric,
12,"Yeah 4 years later just came here to hate on this trailer
Rip Sushant",https://www.youtube.com/watch?v=-U5EWezaQos,kenda.snappy,kenda.s-w3i,http://www.youtube.com/@kenda.s-w3i,"Joined May 30, 2020",2,3,Yes,alphanumeric,
13,Dislike because of Bhatt family and we are against nepotism,https://www.youtube.com/watch?v=-U5EWezaQos,Vishal,vishalsss_23408,http://www.youtube.com/@vishalsss_23408,"Joined Nov 4, 2018",0,3,Yes,alphanumeric,
14,Worst trailer...  From now all the movies of Nepo kids are worst.. Support to ssr,https://www.youtube.com/watch?v=-U5EWezaQos,Amisha Mahapatra,amishamahapatra6514,http://www.youtube.com/@amishamahapatra6514,"Joined Feb 5, 2020",3,0,Yes,alphanumeric,
15,Congratulations everyone.. Most disliked trailer in the world untill now,https://www.youtube.com/watch?v=-U5EWezaQos,SuNil ChauDhary Vlogs,Mr_SuNil_Vlogs09x,http://www.youtube.com/@Mr_SuNil_Vlogs09x,"Joined Jun 22, 2019",98,8,Yes,alphanumeric,
16,This is worst trailer I have ever seen in my entire life...,https://www.youtube.com/watch?v=-U5EWezaQos,mona vishwakarma,monavishwakarma4713,http://www.youtube.com/@monavishwakarma4713,"Joined Jan 15, 2013",0,0,Yes,alphanumeric,
17,I have arrived here to dislike this trailer  because she thinks her selfs most talented though she is not,https://www.youtube.com/watch?v=-U5EWezaQos,173 Ayush mishra,c-392ayushmishra7,http://www.youtube.com/@c-392ayushmishra7,"Joined Aug 12, 2020",0,0,Yes,alphanumeric,
18,World's most dislike trailer... Bloody murderers... #justice for ssr,https://www.youtube.com/watch?v=-U5EWezaQos,Kritika Goel,kritikagoel7615,https://www.youtube.com/@kritikagoel7615,"Joined Feb 21, 2018",0,0,No,alphanumeric,
19,Boycott this movie and make record in dislike and ImPb rating should be 1. They are murderers of our SSR,https://www.youtube.com/watch?v=-U5EWezaQos,Aanju Kaarki,TT12345678anu,https://www.youtube.com/@TT12345678anu,"Joined Mar 28, 2011",0,0,Yes,alphanumeric,
20,I ll not watch this movie because of the Director Bhatt..,https://www.youtube.com/watch?v=-U5EWezaQos,Dhananjay Musical,dhananjaymusical7382,https://www.youtube.com/@dhananjaymusical7382,"Joined Oct 4, 2016",388,9,Yes,alphanumeric,
21,I miss when the comment section wasn’t a fucking calendar.,https://www.youtube.com/watch?v=kffacxfA7G4,Gaibreel,GoldnG,https://www.youtube.com/@GoldnG,"Joined Jul 21, 2017",167,0,Yes,alphanumeric,
22,Who's still disliking in October 2015?,https://www.youtube.com/watch?v=kffacxfA7G4,Liam Butler,liambutler6096,https://www.youtube.com/@liambutler6096,"Joined Jun 21, 2012",18,7,Yes,alphanumeric,
23,this have more dislikes than there is people in my country,https://www.youtube.com/watch?v=kffacxfA7G4,miiCah,kiisselirekka,https://www.youtube.com/@kiisselirekka,"Joined Aug 16, 2014",79,0,Yes,alphanumeric,
24,Who's disliking this on August 8th,https://www.youtube.com/watch?v=kffacxfA7G4,JesperGames,JesperGames,http://www.youtube.com/@JesperGames,"Joined Dec 4, 2012",9,2,No,alphanumeric,
25,I love who ever putted the 7th million dislike.,https://www.youtube.com/watch?v=kffacxfA7G4,kyle Richards,kylerichards6385,http://www.youtube.com/@kylerichards6385,"Joined May 11, 2014",5,0,Yes,alphanumeric,
26,Who clicked on this video just to dislike it?,https://www.youtube.com/watch?v=kffacxfA7G4,Dillon Rabon,dillonrabon9470,http://www.youtube.com/@dillonrabon9470,"Joined Dec 25, 2013",14,0,No,alphanumeric,
27,What the hell is Drake doing in this video? Why the hell is he hanging out with 14 year olds at a bowling alley at 1:13?,https://www.youtube.com/watch?v=kffacxfA7G4,Marie Skarsgård,lemonmarie2161,www.youtube.com/@lemonmarie2161,"Joined Apr 12, 2013",292,0,Yes,alphanumeric,
28,who comes here just to make fun of the dislikes and likes,https://www.youtube.com/watch?v=kffacxfA7G4,Yera,Newageee-f1j,https://www.youtube.com/@Newageee-f1j,"Joined Mar 1, 2015",243,0,Yes,alphanumeric,
29,Who is here to dislike in 2017?,https://www.youtube.com/watch?v=kffacxfA7G4,Fanatic Slayer,fanaticslayer7523,https://www.youtube.com/@fanaticslayer7523,"Joined Oct 30, 2015",7,0,Yes,alphanumeric,
30,who else dislike the video and doesn't know why?,https://www.youtube.com/watch?v=kffacxfA7G4,David Morales,DavidMorales-rf3xz,http://www.youtube.com/@DavidMorales-rf3xz,"Joined Feb 25, 2013",254,2,Yes,alphanumeric,
31,Can’t believe we all managed to bully YouTube into just never making these videos again,https://www.youtube.com/watch?v=2lAe1cqCOXo,DragonPhlegm,DragonPhlegm,https://www.youtube.com/@DragonPhlegm,"Joined Oct 31, 2012",2.19k,2,Yes,alphanumeric,
32,"they did it again guys, we expected nothing and still disappointing",https://www.youtube.com/watch?v=2lAe1cqCOXo,Ernano,ernano_04,https://www.youtube.com/@ernano_04,"Joined Sep 22, 2015",13,0,Yes,alphanumeric,
33,we miss bullying rewinds please come back,https://www.youtube.com/watch?v=2lAe1cqCOXo,suneater,suneater9525,http://www.youtube.com/@suneater9525,"Joined Jul 13, 2017",1,0,Yes,alphanumeric,
34,I like how 2019 dislikes are not because it's cringy but because of how little to no effort they're putting into the rewind,https://www.youtube.com/watch?v=2lAe1cqCOXo,Bullet Time,bullettime8760,https://www.youtube.com/@bullettime8760,"Joined Oct 4, 2020",8,0,Yes,alphanumeric,
35,Bring it back so we can have something to hate united,https://www.youtube.com/watch?v=2lAe1cqCOXo,Pepito Manaloto Season 2,PepitoManalotoS2,https://www.youtube.com/@PepitoManalotoS2,"Joined Nov 17, 2014",47,0,Yes,alphanumeric,
36,we bullied youtube so hard that they stopped uploading rewinds,https://www.youtube.com/watch?v=2lAe1cqCOXo,Chawki Boufas,6wk6,https://www.youtube.com/@6wk6,"Joined Mar 8, 2018",4,0,Yes,alphanumeric,
37,"We bullied them to stop rewinds, then remove dislikes",https://www.youtube.com/watch?v=2lAe1cqCOXo,Twilight,Twiliqhtly,https://www.youtube.com/@Twiliqhtly,"Joined Dec 30, 2013",242,7,Yes,Characters,
38,This has given me the ability to kill.,https://www.youtube.com/watch?v=V-_O7nl0Ii0,Shawn Latour,shawnlatour1825,https://www.youtube.com/@shawnlatour1825,"Joined Jun 8, 2013",18,6,Yes,alphanumeric,
39,I got fucking rickrolled by an ARG,https://www.youtube.com/watch?v=V-_O7nl0Ii0,Nifekopi,Naifkopi,https://www.youtube.com/@Naifkopi,"Joined Jul 8, 2018",62,4,Yes,Characters,
40,My dad is pissed he is like why the hell they are ruining my memories,https://www.youtube.com/watch?v=SD4Z8dlZPd8,Vikash Tiwari,vikashtiwari2928,https://www.youtube.com/@vikashtiwari2928,"Joined Aug 28, 2012",23,10,Yes,alphanumeric,
41,Not a fucking ukulele lmfao,https://www.youtube.com/watch?v=ceKMnyMYIMo,vanessssaa,vanessssaa,http://www.youtube.com/@vanessssaa,"Joined Nov 27, 2007",109,4,Yes,Characters,
42,zero days without nonsense,https://www.youtube.com/watch?v=ceKMnyMYIMo,tate,txtechristine,http://www.youtube.com/@txtechristine,"Joined Feb 26, 2017",4,0,Yes,Characters,
43,Idk if there's a NOT creepy way to be messaging young fans lol...,https://www.youtube.com/watch?v=ceKMnyMYIMo,penguin,peng7771,http://www.youtube.com/@peng7771,"Joined Aug 16, 2016",9,0,No,alphanumeric,
44,This is the wildest thing I’ve ever seen on this app,https://www.youtube.com/watch?v=ceKMnyMYIMo,Brittaney Owen,BrittaneyOwen,http://www.youtube.com/@BrittaneyOwen,"Joined Mar 31, 2010",916,0,Yes,Characters,
45,Wow…Girl you just seem mad and bitter.,https://www.youtube.com/watch?v=ceKMnyMYIMo,Gabirelle Sperry,DarkBunny03,https://www.youtube.com/@DarkBunny03,"Joined Aug 8, 2010",16,0,Yes,alphanumeric,
46,Oh this is quirky,https://www.youtube.com/watch?v=ceKMnyMYIMo,Maya Y,mayay6080,https://www.youtube.com/@mayay6080,"Joined Aug 29, 2015",3,0,Yes,alphanumeric,
47,"Yes, im disappointed in your song. I thought you wuld be an adult for once and take accountability for your actions Colleen.",https://www.youtube.com/watch?v=ceKMnyMYIMo,Shandee,shanneek4545,https://www.youtube.com/@shanneek4545,"Joined Nov 15, 2011",2,0,Yes,alphanumeric,
48,Chat is this REAL???? Girl what are you doing????,https://www.youtube.com/watch?v=ceKMnyMYIMo,Deandra Sarms,deandrasarms5886,https://www.youtube.com/@deandrasarms5886,"Joined Jul 24, 2015",14,0,Yes,alphanumeric,
49,this is embarrisng,https://www.youtube.com/watch?v=ceKMnyMYIMo,Gramsci,Gramsci89,http://www.youtube.com/@Gramsci89,"Joined Aug 5, 2012",1.19k,26,Yes,alphanumeric,
50,Am I in a fever dream….. this can’t really be your response,https://www.youtube.com/watch?v=ceKMnyMYIMo,Lisapizza,marinewifey1015,http://www.youtube.com/@marinewifey1015,"Joined Mar 17, 2010",3,0,Yes,alphanumeric,
51,This is such weird behaviour... and creepy.,https://www.youtube.com/watch?v=ceKMnyMYIMo,thx01102,thx01102,http://www.youtube.com/@thx01102,"Joined Sep 9, 2006",1,0,No,alphanumeric,
52,This is so weird.,https://www.youtube.com/watch?v=ceKMnyMYIMo,Monica,xxgatorsfan91xx,https://www.youtube.com/@xxgatorsfan91xx,"Joined Jan 2, 2008",11,1,Yes,alphanumeric,
53,"Shame on you, Colleen. Any small chance you may have had at redemption is long gone.",https://www.youtube.com/watch?v=ceKMnyMYIMo,Carson Rucker,Ruckergirl,https://www.youtube.com/@Ruckergirl,"Joined Nov 1, 2016",0,0,Yes,Characters,
54,I don’t think ANYONE is having fun.,https://www.youtube.com/watch?v=ceKMnyMYIMo,Kailun Dennie,kailundennie1622,http://www.youtube.com/@kailundennie1622,"Joined May 6, 2012",15,4,Yes,alphanumeric,
55,Are we on the subway??? What the fuck!,https://www.youtube.com/watch?v=ceKMnyMYIMo,Camila Andrea,camilaandrea2180,https://www.youtube.com/@camilaandrea2180,"Joined Nov 18, 2016",7,0,Yes,alphanumeric,
56,How did you make this last ten awful minutes,https://www.youtube.com/watch?v=ceKMnyMYIMo,m,mackenzieanderson-fb5we,https://www.youtube.com/@mackenzieanderson-fb5we,"Joined Feb 28, 2023",18,0,No,alphanumeric,
57,i didn’t know what her response would be but i never could’ve imagined this.,https://www.youtube.com/watch?v=ceKMnyMYIMo,Kendall,kendall3219,https://www.youtube.com/@kendall3219,"Joined Apr 28, 2014",16,0,Yes,alphanumeric,
58,no fucking way LMAOOO,https://www.youtube.com/watch?v=ceKMnyMYIMo,dawg,dawg-vr7ts,http://www.youtube.com/@dawg-vr7ts,"Joined Feb 21, 2018",7,0,Yes,alphanumeric,
59,beyond disrepectful. i feel so bad for the victims.,https://www.youtube.com/watch?v=ceKMnyMYIMo,T,user-jb8jt3el9w,https://www.youtube.com/@user-jb8jt3el9w,"Joined Sep 29, 2018",9,1,Yes,alphanumeric,
60,It's like Bridesmaids and Pixels fucked the corpse of the Ghostbusters franchise.,https://www.youtube.com/watch?v=w3ugHP-yZXw,Infinight Moon,infinightmoon6268,https://www.youtube.com/@infinightmoon6268,"Joined Aug 4, 2012",12,0,Yes,alphanumeric,
61,"My YouTube glitched and let me dislike this a second time.
I hope it glitches again.",https://www.youtube.com/watch?v=w3ugHP-yZXw,Obby the Bird,ObbyTheBird,http://www.youtube.com/@ObbyTheBird,"Joined May 27, 2012",614,28,Yes,Characters,
62,I remember watching this movie on a plane and people still walked out,https://www.youtube.com/watch?v=w3ugHP-yZXw,Will Doherty,willdoherty7637,https://www.youtube.com/@willdoherty7637,"Joined Jun 28, 2018",1,0,Yes,alphanumeric,
63,back here to check the dislike bar. Congrats everybody we finally got to 500k :),https://www.youtube.com/watch?v=w3ugHP-yZXw,info62,info62,https://www.youtube.com/@info62,"Joined Sep 1, 2006",308,6,Yes,alphanumeric,
64,this trailer gave me diabeetus,https://www.youtube.com/watch?v=w3ugHP-yZXw,Spice Industries,SpiceIndustries,https://www.youtube.com/@SpiceIndustries,"Joined Jul 21, 2010",470,120,Yes,Characters,
65,It's like your childhood dog dying and someone doing a horrible taxidermy job on it and trying to charge you to see it.,https://www.youtube.com/watch?v=w3ugHP-yZXw,Alex M.,Alex-The-Working-Class-Hero,https://www.youtube.com/@Alex-The-Working-Class-Hero,"Joined Nov 20, 2013",384,10,Yes,Characters,
66,I used to hit myself but i just watch this trailer now,https://www.youtube.com/watch?v=w3ugHP-yZXw,kev.,thisisforheaven,https://www.youtube.com/@thisisforheaven,"Joined Mar 30, 2015",4,1,Yes,Characters,
67,Just passing by to see how many how many dislikes it has now,https://www.youtube.com/watch?v=w3ugHP-yZXw,Jack Star,jackstar5208,https://www.youtube.com/@jackstar5208,"Joined Sep 2, 2015",70,0,Yes,alphanumeric,
68,Lets get the dislikes to 1 mil boys,https://www.youtube.com/watch?v=w3ugHP-yZXw,Calibri Body,calibribody6776,https://www.youtube.com/@calibribody6776,"Joined Aug 24, 2012",32,0,Yes,alphanumeric,
69,who you gonna call? well I'm calling the hospital cos this trailer gave me cancer,https://www.youtube.com/watch?v=w3ugHP-yZXw,Bessie Q (Bessie),bessieq5198,https://www.youtube.com/@bessieq5198,"Joined Oct 18, 2013",17,0,Yes,alphanumeric,
70,"Great, another fucking reboot.",https://www.youtube.com/watch?v=w3ugHP-yZXw,papadoc711,papadoc711,https://www.youtube.com/@papadoc711,"Joined Jun 23, 2007",198,3,Yes,alphanumeric,
71,I saw this movie for free and I still want my money back!,https://www.youtube.com/watch?v=w3ugHP-yZXw,Matti Ace,mattiace635,https://www.youtube.com/@mattiace635,"Joined Nov 5, 2015",17,0,Yes,alphanumeric,
72,"My fourteen year old daughter says your trailer sucks , is she a misogynist?",https://www.youtube.com/watch?v=w3ugHP-yZXw,Jragedape,Jragedape,https://www.youtube.com/@Jragedape,"Joined Oct 7, 2011",6,0,No,Characters,
73,these are the worst actors I have ever seen....,https://www.youtube.com/watch?v=w3ugHP-yZXw,Dana Rider,Danaman117,https://www.youtube.com/@Danaman117,"Joined Jul 10, 2007",1.16k,330,Yes,alphanumeric,
74,Let's get to a million dislikes,https://www.youtube.com/watch?v=w3ugHP-yZXw,QoVoC,QoVoCGaming,https://www.youtube.com/@QoVoCGaming,"Joined Jun 20, 2008",2.1k,664,Yes,Characters,
75,"I wonder where all of the feminist, who said that this was going to be a hit, are?",https://www.youtube.com/watch?v=w3ugHP-yZXw,Marie Skarsgård,lemonmarie2161,https://www.youtube.com/@lemonmarie2161,"Joined Apr 12, 2013",292,0,Yes,alphanumeric,
76,Watched this trailer and now I've been diagnosed with cancer,https://www.youtube.com/watch?v=w3ugHP-yZXw,JT Brah,jtbrah6995,https://www.youtube.com/@jtbrah6995,"Joined Oct 20, 2012",40,1,Yes,alphanumeric,
77,"Come on, people! Let's get it to 1,000,000 dislikes!!",https://www.youtube.com/watch?v=w3ugHP-yZXw,Joey JoJo Joestar Junior Shabadoo,JoeyJoJoJoestarJuniorShabadoo,https://www.youtube.com/@JoeyJoJoJoestarJuniorShabadoo,"Joined Aug 20, 2013",51,3,Yes,Characters,
78,My grandpa is a very positive Pearson but when he saw this trailer he said it looks awful,https://www.youtube.com/watch?v=w3ugHP-yZXw,Anah Marks (Anah Marks),anahmarks1770,https://www.youtube.com/@anahmarks1770,"Joined Oct 15, 2011",5,6,Yes,alphanumeric,
79,"Complete trash. 400,000 dislikes to 179,000 likes. RIP Ghostbusters. Error 404 - enjoyment not found.",https://www.youtube.com/watch?v=w3ugHP-yZXw,Mxtt_Hxll,Mxtt_Hxll,https://www.youtube.com/@Mxtt_Hxll,"Joined Feb 13, 2014",15,0,Yes,Characters,
80,Can we all agrees to not watch this movie when it comes out as a form of protest?,https://www.youtube.com/watch?v=w3ugHP-yZXw,Sean Weir,Cabsmell,https://www.youtube.com/@Cabsmell,"Joined Jan 8, 2006",119,449,Yes,Characters,
81,I actually forgot how completely ass this was ,https://www.youtube.com/watch?v=hSlb1ezRqfA&list=RDhSlb1ezRqfA&start_radio=1,Kindri Evans Official,KindriEvansOfficial,https://www.youtube.com/@KindriEvansOfficial,"Joined Oct 27, 2018",44,12,Yes,Characters,
82,got his ass folded in that fight,https://www.youtube.com/watch?v=hSlb1ezRqfA&list=RDhSlb1ezRqfA&start_radio=1,PKMN Krystal,Krystalx471,https://www.youtube.com/@Krystalx471,"Joined Apr 4, 2016",310,6,Yes,alphanumeric,
83,This song has more dislikes than despacito. As a world we have finally peaked.,https://www.youtube.com/watch?v=hSlb1ezRqfA&list=RDhSlb1ezRqfA&start_radio=1,James Smart,jamessmart5703,https://www.youtube.com/@jamessmart5703,"Joined Aug 2, 2017",33,0,Yes,alphanumeric,
84,i like the spanish part because i cant understand it,https://www.youtube.com/watch?v=hSlb1ezRqfA&list=RDhSlb1ezRqfA&start_radio=1,Tyrues,tyrues1682,https://www.youtube.com/@tyrues1682,"Joined Apr 16, 2016",18,0,Yes,alphanumeric,
85,this video makes me understand why thanos wanted to wipe out half of the universe,https://www.youtube.com/watch?v=hSlb1ezRqfA&list=RDhSlb1ezRqfA&start_radio=1,lyla,lyla5434,https://www.youtube.com/@lyla5434,"Joined Aug 24, 2018",41,0,Yes,alphanumeric,
86,i feel bad for babies who were born on this exact day and year,https://www.youtube.com/watch?v=hSlb1ezRqfA&list=RDhSlb1ezRqfA&start_radio=1,Rakeb,rakeb4120,https://www.youtube.com/@rakeb4120,"Joined Jun 11, 2021",0,0,No,alphanumeric,
87,I miss when the worse thing youtubers did was drop bad rap songs instead of being predators,https://www.youtube.com/watch?v=hSlb1ezRqfA&list=RDhSlb1ezRqfA&start_radio=1,Zavier Kistemaker,susragejr477,https://www.youtube.com/@susragejr477,"Joined Nov 10, 2018",16,0,Yes,alphanumeric,
88,WE GETTIN UP FROM OUR WHEELCHAIR TO PAUSE THE VIDEO WITH THIS ONE,https://www.youtube.com/watch?v=hSlb1ezRqfA&list=RDhSlb1ezRqfA&start_radio=1,Noob,noob3311,https://www.youtube.com/@noob3311,"Joined Apr 13, 2022",6,0,Yes,alphanumeric,
89,I’m completely ashamed that seven years later I somehow know every single lyric,https://www.youtube.com/watch?v=hSlb1ezRqfA&list=RDhSlb1ezRqfA&start_radio=1,Pneumonoultramicroscopicsilicovolcanoconiosis,pneumonoultramicroscopicsiIico,https://www.youtube.com/@pneumonoultramicroscopicsiIico,"Joined Mar 30, 2020",11,0,No,Characters,
90,Insane how he's never deleted this,https://www.youtube.com/watch?v=hSlb1ezRqfA&list=RDhSlb1ezRqfA&start_radio=1,WORLD'S BIGGEST DUCK HUNT FAN,sudomemodump,https://www.youtube.com/@sudomemodump,"Joined Apr 2, 2023",2,45,Yes,Characters,
91,this is the toxic group of friends in high school that lowkey all hate each other,https://www.youtube.com/watch?v=UejAbjG0B4U,Steph Pham,stephpham3507,http://www.youtube.com/@stephpham3507,"Joined Jul 1, 2018",0,0,Yes,alphanumeric,
92,Does this mean all the people who liked it are haters?,https://www.youtube.com/watch?v=wx9Jv5uxfac,melissa m.,melissamarroquin,https://www.youtube.com/@melissamarroquin,"Joined Jan 25, 2015",53,0,No,Characters,
93,"This is the 3th most disliked video in the world, damn...",https://www.youtube.com/watch?v=wx9Jv5uxfac,yocex02,yocex0276,https://www.youtube.com/@yocex0276,"Joined Jan 17, 2015",143,111,Yes,alphanumeric,
94,If Jake Paul goes to jail then he’s finally gonna finish a sentence.,https://www.youtube.com/watch?v=TuIcBPm90aM&list=RDTuIcBPm90aM&start_radio=1,Kirb,meowmeowmeowmeow28,https://www.youtube.com/@meowmeowmeowmeow28,"Joined Jul 2, 2019",66,0,Yes,alphanumeric,
95,"“First of all I’m not racist, BUT.” Wth why word it like this.",https://www.youtube.com/watch?v=3jZDt5zQWsE,Econ Expo,EconExpo,https://www.youtube.com/@EconExpo,"Joined Feb 25, 2013",2,2,Yes,Characters,
96,"wow, I can't wait to not see this movie.",https://www.youtube.com/watch?v=w3ugHP-yZXw,Some Mook,iGOTitSTUCKinTHEfan,https://www.youtube.com/@iGOTitSTUCKinTHEfan,"Joined Apr 30, 2013",7,191,No,Characters,
97,Excuse me that I am late. But I logged in here just to dislike it.,https://www.youtube.com/watch?v=w3ugHP-yZXw,Note To Self Guy,vigalantyleyba,https://www.youtube.com/@vigalantyleyba,"Joined Oct 20, 2011",11,1,Yes,Characters,
98,People are disliking this movie because it is a shitty remake and they picked the most unfunny female comedians for it. Not liking unfunny women is not mysoginy.,https://www.youtube.com/watch?v=w3ugHP-yZXw,Caveman Toe,cavemantoe6153,https://www.youtube.com/@cavemantoe6153,"Joined Sep 27, 2015",63,9,Yes,alphanumeric,
99,Is this a cringe compilation?,https://www.youtube.com/watch?v=w3ugHP-yZXw,Admiralex91,Admiralex91,https://www.youtube.com/@Admiralex91,"Joined Jun 10, 2007",221,30,Yes,alphanumeric,
100,This is worse than rebecca black and cancer combined,https://www.youtube.com/watch?v=w3ugHP-yZXw,CrayzeeChase,CrayzeeChase,https://www.youtube.com/@CrayzeeChase,"Joined Oct 1, 2010",12,86,Yes,Characters,
